nodes_count,greedy_sum,greedy_executions,divide_and_conquer_sum,divide_and_conquer_executions
105,553,6,596,105
11,114,2,363,11
11,131,2,484,11
11,187,2,216,11
11,205,3,246,11
11,212,3,229,11
11,218,3,302,11
11,236,3,404,11
11,254,3,320,11
11,263,4,351,11
11,265,3,436,11
11,266,3,372,11
11,267,4,267,11
11,275,2,494,11
11,276,2,409,11
11,278,3,361,11
11,284,3,417,11
11,287,4,287,11
11,287,4,289,11
11,289,3,370,11
11,330,4,330,11
11,330,4,330,11
11,353,3,519,11
11,375,4,401,11
11,385,4,385,11
11,396,3,437,11
11,399,4,589,11
11,400,4,400,11
11,403,4,403,11
11,415,4,415,11
11,434,4,434,11
11,474,4,474,11
11,501,4,501,11
11,527,5,527,11
115,659,8,705,115
117,628,7,711,117
125,417,4,797,125
125,512,6,916,125
127,811,9,878,127
127,914,9,914,127
129,320,4,923,129
129,405,4,906,129
129,644,7,762,129
13,101,2,325,13
13,113,2,288,13
13,207,3,336,13
13,211,2,291,13
13,221,4,320,13
13,231,4,349,13
13,250,3,286,13
13,270,3,377,13
13,273,4,356,13
13,274,3,427,13
13,281,4,313,13
13,289,3,353,13
13,291,3,373,13
13,294,4,294,13
13,309,4,341,13
13,312,3,378,13
13,331,4,339,13
13,331,4,346,13
13,339,3,396,13
13,360,4,360,13
13,365,3,405,13
13,367,3,508,13
13,400,3,451,13
13,419,4,419,13
13,437,4,437,13
13,505,4,505,13
13,66,2,314,13
131,722,6,906,131
133,832,9,907,133
137,762,8,853,137
141,190,4,854,141
149,677,8,892,149
15,160,4,270,15
15,169,3,290,15
15,207,3,383,15
15,226,3,311,15
15,229,4,431,15
15,246,4,358,15
15,253,3,465,15
15,257,4,350,15
15,259,3,407,15
15,269,3,424,15
15,281,3,474,15
15,286,3,404,15
15,290,4,332,15
15,304,4,413,15
15,319,3,403,15
15,334,3,487,15
15,343,4,436,15
15,349,4,354,15
15,358,3,405,15
15,370,4,384,15
15,389,4,389,15
15,393,4,393,15
15,411,4,486,15
15,423,4,423,15
15,435,4,435,15
15,451,5,451,15
15,487,4,521,15
151,620,7,868,151
153,462,6,809,153
157,490,5,1139,157
159,355,4,819,159
17,124,3,303,17
17,160,3,290,17
17,170,3,311,17
17,212,3,275,17
17,277,3,439,17
17,305,4,397,17
17,331,4,477,17
17,336,4,367,17
17,340,4,354,17
17,368,4,485,17
17,409,5,409,17
17,422,4,503,17
17,437,4,467,17
17,458,5,498,17
17,556,5,556,17
19,253,2,537,19
19,277,3,366,19
19,296,3,465,19
19,321,4,354,19
19,345,3,556,19
19,350,3,505,19
19,350,4,442,19
19,356,4,490,19
19,366,4,366,19
19,392,3,572,19
19,402,4,436,19
19,437,5,437,19
19,469,5,469,19
19,571,5,571,19
19,600,5,600,19
21,112,3,351,21
21,194,3,404,21
21,195,3,312,21
21,198,4,391,21
21,210,4,357,21
21,225,3,406,21
21,314,4,418,21
21,316,3,454,21
21,317,4,364,21
21,360,5,361,21
21,377,5,424,21
21,393,5,453,21
21,405,4,442,21
21,432,5,471,21
21,443,6,536,21
21,446,4,555,21
21,451,4,451,21
21,454,5,454,21
21,456,4,506,21
21,491,5,491,21
21,493,4,493,21
23,167,3,419,23
23,186,3,361,23
23,271,5,325,23
23,281,3,593,23
23,283,3,325,23
23,322,5,449,23
23,332,4,521,23
23,345,3,483,23
23,354,4,568,23
23,355,4,355,23
23,402,5,497,23
23,447,5,447,23
23,456,5,456,23
23,460,5,522,23
23,500,5,500,23
25,123,2,515,25
25,175,2,603,25
25,278,4,412,25
25,289,4,538,25
25,312,4,454,25
25,333,5,378,25
25,373,5,394,25
25,374,5,467,25
25,384,4,500,25
25,388,4,464,25
25,418,5,433,25
25,445,4,560,25
25,526,5,526,25
25,662,5,662,25
27,156,3,366,27
27,181,2,467,27
27,232,5,434,27
27,274,3,809,27
27,292,3,482,27
27,366,5,538,27
27,366,6,427,27
27,397,5,461,27
27,464,4,580,27
27,464,5,480,27
27,467,5,583,27
27,477,6,477,27
29,304,4,590,29
29,321,4,596,29
29,469,6,594,29
29,485,5,485,29
29,552,5,552,29
3,117,2,117,3
3,162,2,162,3
3,195,2,195,3
3,215,2,215,3
3,232,2,232,3
3,243,2,243,3
3,274,2,274,3
31,343,4,442,31
31,355,3,621,31
31,412,4,611,31
31,423,5,583,31
31,449,5,575,31
31,476,6,476,31
33,104,2,590,33
33,347,5,593,33
33,398,5,632,33
33,410,5,429,33
33,507,6,594,33
33,525,5,525,33
35,344,4,630,35
35,421,5,421,35
35,437,4,564,35
35,522,6,599,35
35,534,5,585,35
35,561,6,638,35
35,670,6,670,35
37,298,4,735,37
37,354,5,420,37
37,39,2,507,37
37,410,5,676,37
37,463,5,681,37
37,495,5,771,37
37,519,5,551,37
37,675,6,675,37
39,224,2,879,39
39,256,4,379,39
39,333,5,577,39
39,351,4,590,39
39,457,5,518,39
39,457,6,503,39
39,535,5,598,39
39,669,7,701,39
39,696,6,696,39
39,701,6,855,39
41,303,4,526,41
41,453,5,573,41
41,457,5,551,41
41,521,6,645,41
41,689,5,862,41
41,765,7,765,41
43,118,4,564,43
43,293,5,574,43
43,416,3,720,43
43,466,4,738,43
43,505,6,550,43
43,650,6,733,43
43,678,6,678,43
45,270,4,482,45
45,514,6,619,45
45,562,6,582,45
47,200,3,549,47
47,287,3,637,47
47,305,4,432,47
47,515,6,610,47
47,623,6,623,47
49,248,2,901,49
49,536,5,704,49
5,116,2,255,5
5,125,2,169,5
5,135,2,217,5
5,143,2,235,5
5,147,2,147,5
5,195,2,210,5
5,254,3,254,5
5,82,2,82,5
51,106,2,694,51
51,412,5,603,51
51,459,5,603,51
51,665,7,766,51
51,693,6,693,51
51,698,6,728,51
53,159,3,660,53
53,194,3,564,53
53,266,5,537,53
53,297,4,633,53
53,467,6,531,53
53,574,7,574,53
53,677,7,677,53
53,727,7,742,53
55,574,7,574,55
55,748,7,748,55
57,359,3,675,57
57,565,5,665,57
59,237,3,522,59
59,364,4,869,59
59,511,6,677,59
61,342,5,588,61
61,368,5,760,61
61,494,5,670,61
63,461,6,600,63
63,523,5,869,63
63,652,6,754,63
63,729,7,787,63
65,194,3,682,65
65,207,3,717,65
67,460,7,524,67
67,462,5,741,67
67,580,6,714,67
67,63,3,568,67
69,329,3,647,69
69,480,7,572,69
7,105,2,220,7
7,127,2,281,7
7,140,2,367,7
7,153,3,153,7
7,158,2,262,7
7,164,2,324,7
7,172,2,291,7
7,174,3,289,7
7,184,2,415,7
7,229,3,229,7
7,271,2,355,7
7,276,3,276,7
7,311,3,331,7
7,323,4,323,7
7,327,3,396,7
7,333,4,333,7
7,348,3,366,7
7,350,4,350,7
7,402,4,402,7
73,175,2,647,73
73,499,5,729,73
73,751,8,751,73
75,302,4,775,75
77,561,7,746,77
77,614,6,810,77
79,256,3,727,79
79,333,5,675,79
81,538,5,875,81
83,441,7,632,83
83,482,7,712,83
85,421,4,774,85
85,598,5,915,85
85,717,8,717,85
87,804,7,804,87
9,138,2,169,9
9,148,2,287,9
9,165,3,208,9
9,170,2,267,9
9,182,2,389,9
9,183,2,352,9
9,210,2,416,9
9,212,3,212,9
9,242,3,242,9
9,260,3,260,9
9,268,3,268,9
9,270,2,499,9
9,270,3,270,9
9,282,3,303,9
9,305,3,516,9
9,327,3,327,9
9,370,3,419,9
9,411,4,411,9
9,441,4,441,9
9,446,5,446,9
9,461,4,461,9
9,94,2,365,9
93,660,6,1013,93
93,814,9,814,93
97,459,5,678,97
97,708,7,841,97
99,386,5,722,99